Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; In labor force:,Margin of Error; In labor force:,Estimate; In labor force: - Civilian labor force:,Margin of Error; In labor force: - Civilian labor force:,Estimate; In labor force: - Civilian labor force: - Employed,Margin of Error; In labor force: - Civilian labor force: - Employed,Estimate; In labor force: - Civilian labor force: - Unemployed,Margin of Error; In labor force: - Civilian labor force: - Unemployed,Estimate; In labor force: - Armed Forces,Margin of Error; In labor force: - Armed Forces,Estimate; Not in labor force,Margin of Error; Not in labor force
Allegheny Center,1,993,142,614,131,614,131,579,131,35,35,0,10,379,127
Allegheny West,2,334,103,230,79,230,79,221,80,9,22,0,10,104,51
Allentown,3,1922.0,343.995639507,1085.0,180.540854102,1085.0,180.540854102,841.0,170.064693573,244.0,114.498908292,0.0,17.3205080757,837.0,221.167357447
Arlington,4,1584.0,306.651267729,1108.0,235.817726221,1108.0,235.817726221,991.0,207.465659809,117.0,89.1571646027,0.0,17.3205080757,476.0,124.342269563
Arlington Heights,5,211,106,89,56,89,56,80,57,9,14,0,10,122,99
Banksville,6,3753.0,425.187017676,2484.0,392.238447886,2484.0,392.238447886,2409.0,384.053381706,75.0,61.3514466007,0.0,20.0,1269.0,249.465428467
Bedford Dwellings,7,849,92,403,86,403,86,248,69,155,57,0,10,446,89
Beechview,8,6825.0,607.47098696,4491.0,452.380370926,4491.0,452.380370926,4046.0,420.083325068,445.0,143.770650689,0.0,31.6227766016,2334.0,347.33557261
Beltzhoover,9,1604.0,287.013936944,1076.0,238.524631852,1076.0,238.524631852,866.0,214.114455374,210.0,96.6540221615,0.0,20.0,528.0,150.582203463
Bloomfield,10,8123.0,467.39811724,5835.0,423.849029726,5831.0,423.849029726,5484.0,387.371914315,347.0,122.278370941,4.0,30.8058436014,2288.0,278.433115846
Bluff,11,5990.0,685.731725969,1907.0,286.722862709,1907.0,286.722862709,1690.0,270.75080794,217.0,95.7757798194,0.0,20.0,4083.0,626.630672725
Bon Air,12,718,147,530,133,529,131,496,134,33,29,1,5,188,60
Brighton Heights,13,6086.0,410.755401669,4081.0,312.289929392,4081.0,312.289929392,3805.0,305.237612362,276.0,94.6150093801,0.0,26.4575131106,2005.0,264.605366537
Brookline,14,10874.0,686.79764123,7555.0,619.426347518,7555.0,619.426347518,6937.0,598.090294186,618.0,171.513847837,0.0,38.729833462,3319.0,339.512886355
California-Kirkbride,15,576,131,273,87,273,87,194,70,79,35,0,10,303,110
Carrick,16,8196.0,571.678231176,5214.0,507.120301309,5214.0,507.120301309,4443.0,446.270097587,771.0,203.54115063,0.0,36.0555127546,2982.0,289.046709027
Central Business District,17,4065.0,502.258897382,2405.0,374.825292636,2405.0,374.825292636,2186.0,359.183796962,219.0,105.763887976,0.0,24.4948974278,1660.0,288.256829928
Central Lawrenceville,18,4194.0,407.250537139,2899.0,293.710742057,2895.0,294.283876554,2708.0,289.449477456,187.0,75.2130307859,4.0,23.1516738056,1295.0,279.44766952
Central Northside,19,2411.0,248.817201978,1657.0,193.981957924,1657.0,193.981957924,1523.0,197.628439249,134.0,70.2637886823,0.0,17.3205080757,754.0,165.834254604
Central Oakland,20,5589.0,582.021477267,3173.0,422.977540775,3173.0,422.977540775,2974.0,410.600779347,199.0,95.3362470418,0.0,17.3205080757,2416.0,373.280055722
Chartiers City,21,376,105,254,92,254,92,240,86,14,17,0,10,122,58
Chateau,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Crafton Heights,23,2953.0,249.315061719,1939.0,214.704448021,1939.0,214.704448021,1811.0,204.641149333,128.0,61.2209114601,0.0,20.0,1014.0,151.980261877
Crawford-Roberts,24,1803.0,280.793518444,748.0,189.76037521,748.0,189.76037521,596.0,168.217121602,152.0,122.482651833,0.0,14.1421356237,1055.0,235.478236786
Duquesne Heights,25,2250.0,274.823579774,1627.0,223.825825141,1627.0,223.825825141,1524.0,209.458826503,103.0,55.8659108939,0.0,14.1421356237,623.0,133.206606443
East Allegheny,26,2081.0,257.194478945,1277.0,225.222112591,1277.0,225.222112591,1090.0,197.840845126,187.0,98.4936546179,0.0,14.1421356237,804.0,173.666346769
East Carnegie,27,471,101,371,94,371,94,340,91,31,31,0,10,100,47
East Hills,28,2195.0,313.695712435,1196.0,253.964564457,1196.0,253.964564457,776.0,201.422441649,420.0,167.612648687,0.0,17.3205080757,999.0,213.974297522
East Liberty,29,4762.0,434.441020162,2911.0,341.067442011,2911.0,341.067442011,2629.0,325.050765265,282.0,114.538203234,0.0,28.2842712474,1851.0,265.28852218
Elliott,30,1826.0,267.183457572,1144.0,212.612323255,1144.0,212.612323255,998.0,203.049255108,146.0,85.1645466142,0.0,17.3205080757,682.0,136.956197377
Esplen,31,253,92,170,77,170,77,163,76,7,10,0,10,83,47
Fairywood,32,1076,228,894,189,882,189,853,186,29,27,12,18,182,70
Fineview,33,1061.0,226.400088339,601.0,144.308696897,601.0,144.308696897,484.0,138.057958843,117.0,50.4479930225,0.0,14.1421356237,460.0,144.585614775
Friendship,34,1674.0,238.411409123,1337.0,226.27416998,1337.0,226.27416998,1271.0,215.002325569,66.0,54.083269132,0.0,14.1421356237,337.0,124.963994815
Garfield,35,2786.0,324.706020886,1471.0,242.179685358,1471.0,242.179685358,1257.0,231.242297169,214.0,66.6708332031,0.0,22.360679775,1315.0,193.088062811
Glen Hazel,36,577,281,88,56,88,56,88,56,0,10,0,10,489,272
Greenfield,37,6430.0,564.26235033,4622.0,529.34865637,4622.0,529.34865637,4373.0,502.607202495,249.0,106.423681575,0.0,29.9999999999,1808.0,244.67120795
Hays,38,299,69,188,72,188,72,173,70,15,19,0,10,111,44
Hazelwood,39,3374.0,468.389794936,1801.0,279.195272167,1801.0,279.195272167,1569.0,264.162828573,232.0,93.7923237798,0.0,26.4575131106,1573.0,303.962168699
Highland Park,40,5547.0,620.220122216,3795.0,471.922663156,3795.0,471.922663156,3523.0,425.436246692,272.0,146.744676223,0.0,28.2842712474,1752.0,336.511515405
Homewood North,41,2142.0,263.679729976,1129.0,193.953602699,1129.0,193.953602699,863.0,173.57995276,266.0,87.0919054792,0.0,22.360679775,1013.0,155.753009602
Homewood South,42,1802.0,222.382553272,886.0,164.99090884,886.0,164.99090884,669.0,129.243955371,217.0,102.420701033,0.0,24.4948974278,916.0,126.838479966
Homewood West,43,731.0,145.660564327,392.0,124.233650836,392.0,124.233650836,316.0,102.415819091,76.0,58.463663929,0.0,14.1421356237,339.0,93.5093578205
